#sep=;
#Timestamp [us];Power measure [W]
0.000000;36.0240
0.015704;36.0240
0.026249;36.0240
0.035200;36.0240
0.049257;36.0300
0.062964;36.0300
0.074288;36.0300
0.088442;36.0240
0.096309;36.0240
0.109668;36.0300
0.124454;36.0240
0.150151;36.0240
0.170183;36.0240
0.187806;36.0300
0.195525;36.0300
0.208721;36.0300
0.219217;36.0300
0.232343;36.0300
0.249500;36.0240
0.257210;36.0240
0.269573;36.0240
0.287151;36.0240
0.295837;36.0240
0.310987;36.0240
0.325313;36.0240
0.332917;36.0240
0.349029;36.0240
0.364935;36.0240
0.371441;36.0240
0.385035;36.0240
0.394121;36.0240
0.405090;36.0240
0.409690;36.0240
0.414431;36.0240
0.424202;36.0240
0.431652;36.0240
0.436029;36.0240
0.448312;36.0240
0.452888;36.0240
0.464051;36.0300
0.468297;36.0300
0.473240;36.0300
0.483787;36.0240
0.488109;36.0240
0.492729;36.0240
0.504175;36.0240
0.511104;36.0240
0.515712;36.0240
0.525800;36.0240
0.530035;36.0240
0.534250;36.0240
0.543798;36.0240
0.548035;36.0240
0.552650;36.0240
0.563900;36.0240
0.568210;36.0240
0.572562;36.0240
0.583785;36.0240
0.588055;36.0240
0.592504;36.0240
0.603926;36.0240
0.608166;36.0240
0.612413;36.0240
0.624387;36.0300
0.628602;36.0300
0.632834;36.0300
0.643924;36.0300
0.648248;36.0300
0.652494;36.0300
0.663924;36.0240
0.668115;36.0240
0.672354;36.0240
0.683882;36.1290
0.688100;36.1290
0.692304;36.1290
0.704081;36.0300
0.708270;36.0300
0.712477;36.0300
0.724501;36.0300
0.728721;36.0300
0.732931;36.0300
0.744119;36.0240
0.748594;36.0240
0.752825;36.0240
0.764196;36.0300
0.768804;36.0300
0.773016;36.0300
0.784054;36.0300
0.789094;36.0300
0.793295;36.0300
0.804239;36.0300
0.809390;36.0300
0.813613;36.0300
0.824316;36.0300
0.829577;36.0300
0.833826;36.0300
0.844233;36.1290
0.852939;36.1290
0.864216;36.1230
0.870530;36.1230
0.874746;36.1230
0.884175;36.0300
0.890870;36.0300
0.895077;36.0300
0.904355;36.0240
0.911237;36.0240
0.915449;36.0240
0.924267;36.0240
0.928832;36.0240
0.933770;36.0240
0.944342;36.0300
0.949411;36.0300
0.954380;36.0300
0.964384;36.0240
0.968708;36.0240
0.973817;36.0240
0.984288;36.0240
0.988829;36.0240
0.993922;36.0240
1.004423;36.0240
1.008965;36.0240
1.013888;36.0240
1.024342;36.0240
1.028650;36.0240
1.033733;36.0240
1.044434;36.0240
1.050677;36.0240
1.064449;36.1290
1.068964;36.1290
1.074082;36.1290
1.084369;36.1290
1.088972;36.1290
1.094472;36.1290
1.104599;36.0240
1.109035;36.0240
1.114575;36.0240
1.124442;36.0300
1.128634;36.0300
1.136554;36.0300
1.146384;36.0240
1.151391;36.0240
1.164601;36.0240
1.168769;36.0240
1.174994;36.0240
1.184509;36.0300
1.189088;36.0300
1.204667;36.0300
1.208846;36.0300
1.224554;36.0300
1.228726;36.0300
1.233225;36.0300
1.244699;36.0300
1.249206;36.0300
1.264625;36.0300
1.268812;36.0300
1.273359;36.0300
1.284624;36.1290
1.288803;36.1290
1.293585;36.1290
1.304784;36.1290
1.308955;36.1290
1.313241;36.1290
1.324695;36.0300
1.328861;36.0300
1.333134;36.0300
1.344825;36.1230
1.349129;36.1230
1.354132;36.1230
1.364919;36.1230
1.369103;36.1230
1.373376;36.1230
1.384771;36.0240
1.388918;36.0240
1.394111;36.0240
1.404952;36.0240
1.409134;36.0240
1.413375;36.0240
1.424800;36.0300
1.428988;36.0300
1.433158;36.0300
1.445443;36.0300
1.450014;36.0300
1.464966;36.0240
1.469229;36.0240
1.473395;36.0240
1.484947;36.0240
1.489132;36.0240
1.493301;36.0240
1.505696;36.1230
1.509865;36.1230
1.514042;36.1230
1.525206;36.0300
1.529517;36.0300
1.533698;36.0300
1.545397;36.0240
1.549555;36.0240
1.553892;36.0240
1.565180;36.1230
1.569337;36.1230
1.573521;36.1230
1.585132;36.1230
1.589286;36.1230
1.593445;36.1230
1.605266;36.0240
1.609446;36.0240
1.613610;36.0240
1.625154;36.0300
1.629295;36.0300
1.633470;36.0300
1.645664;36.0300
1.649834;36.0300
1.654121;36.0300
1.665278;36.0300
1.669416;36.0300
1.673574;36.0300
1.685196;36.0300
1.689339;36.0300
1.693521;36.0300
1.705394;36.0300
1.709600;36.0300
1.713773;36.0300
1.725236;36.0240
1.729414;36.0240
1.733601;36.0240
1.745448;36.0300
